feature,shap_importance
SCHOLARSHIP,9.567141
STUDENTID,0.92291486
FATHER_EDU,0.7147478
CLASSROOM,0.39300948
STUDY_HRS,0.17579278
AGE,0.05593744
CUML_GPA,0.04698756
COURSE ID,0.033643518
GENDER,0.022921456
READ_FREQ_SCI,0.017549084
ACTIVITY,0.016471012
MOTHER_EDU,0.01640048
#_SIBLINGS,0.005361068
EXP_GPA,0.0023040154
SALARY,0.0
ATTEND,0.0
HS_TYPE,0.0
LIKES_DISCUSS,0.0
LISTENS,0.0
NOTES,0.0
PREP_EXAM,0.0
PREP_STUDY,0.0
ATTEND_DEPT,0.0
IMPACT,0.0
TRANSPORT,0.0
READ_FREQ,0.0
WORK,0.0
MOTHER_JOB,0.0
KIDS,0.0
PARTNER,0.0
LIVING,0.0
FATHER_JOB,0.0
