feature,mean_importance
FATHER_JOB,-0.43181153883612955
SALARY,-0.018483923481598375
MOTHER_JOB,0.0
CUML_GPA,0.0
CLASSROOM,0.0
LIKES_DISCUSS,0.0
LISTENS,0.0
NOTES,0.0
PREP_EXAM,0.0
PREP_STUDY,0.0
ATTEND,0.0
IMPACT,0.0
ATTEND_DEPT,0.0
READ_FREQ_SCI,0.0
READ_FREQ,0.0
STUDY_HRS,0.0
COURSE ID,0.0
KIDS,0.0
#_SIBLINGS,0.0
FATHER_EDU,0.0
MOTHER_EDU,0.0
LIVING,0.0
TRANSPORT,0.0
ACTIVITY,0.0
WORK,0.0
SCHOLARSHIP,0.0
HS_TYPE,0.0
AGE,0.0
EXP_GPA,0.0
PARTNER,0.020054365290350696
GENDER,0.15440763217292214
STUDENTID,0.5696132804093308
