feature,shap_importance
STUDENTID,11.628440590590102
COURSE ID,5.670045649583741
GENDER,4.728257250238427
CUML_GPA,3.942138083999143
PARTNER,3.7459806854296076
WORK,3.6100057411096005
AGE,3.2682722161406934
ACTIVITY,3.0058497546499536
FATHER_JOB,2.987655511081493
FATHER_EDU,2.872842630884945
SALARY,2.8494615003942556
CLASSROOM,2.6651252204432283
MOTHER_JOB,2.5923709531093384
LIKES_DISCUSS,2.4880264864697836
HS_TYPE,2.414646193123088
MOTHER_EDU,2.375742126522628
#_SIBLINGS,2.3687219883517354
ATTEND,2.3383817619573892
EXP_GPA,2.27596532826168
NOTES,2.2322895674044374
TRANSPORT,2.222750400214748
LIVING,2.221721094645286
SCHOLARSHIP,2.209215071408835
READ_FREQ,2.1914752165875564
IMPACT,1.6881341095525575
KIDS,1.6879653289780476
READ_FREQ_SCI,1.5190905333485762
PREP_STUDY,1.3679116956704236
LISTENS,1.355392376380091
ATTEND_DEPT,1.2949248989789295
STUDY_HRS,1.2027665846136644
PREP_EXAM,1.0059427518903217
