feature,mean_importance
SCHOLARSHIP,-0.007099404833809908
MOTHER_JOB,0.0
LIKES_DISCUSS,0.0
LISTENS,0.0
NOTES,0.0
PREP_EXAM,0.0
PREP_STUDY,0.0
ATTEND,0.0
ATTEND_DEPT,0.0
READ_FREQ,0.0
STUDY_HRS,0.0
EXP_GPA,0.0
CLASSROOM,0.0
KIDS,0.0
MOTHER_EDU,0.0
LIVING,0.0
TRANSPORT,0.0
SALARY,0.0
ACTIVITY,0.0
WORK,0.0
HS_TYPE,0.0
GENDER,0.0
AGE,0.0
IMPACT,0.0028835203997187977
FATHER_EDU,0.0033279083106300344
FATHER_JOB,0.008186394430269583
#_SIBLINGS,0.015338483902125865
READ_FREQ_SCI,0.02035767117491636
PARTNER,0.04188874897462171
CUML_GPA,0.13888669562476447
STUDENTID,0.2953464940169811
COURSE ID,0.3353501344027857
