feature,shap_importance
STUDENTID,0.5079329198863383
COURSE ID,0.27303907358528384
CUML_GPA,0.11695154030539393
FATHER_JOB,0.06748882102919365
PARTNER,0.06580524026885905
#_SIBLINGS,0.05221700091830729
FATHER_EDU,0.03121007026853973
READ_FREQ_SCI,0.025094811587186298
IMPACT,0.02176058419633913
SCHOLARSHIP,0.0198069174625421
ATTEND,0.0
PREP_STUDY,0.0
PREP_EXAM,0.0
LISTENS,0.0
NOTES,0.0
LIKES_DISCUSS,0.0
CLASSROOM,0.0
EXP_GPA,0.0
ATTEND_DEPT,0.0
GENDER,0.0
READ_FREQ,0.0
HS_TYPE,0.0
AGE,0.0
MOTHER_JOB,0.0
KIDS,0.0
MOTHER_EDU,0.0
LIVING,0.0
TRANSPORT,0.0
SALARY,0.0
ACTIVITY,0.0
WORK,0.0
STUDY_HRS,0.0
